"ability","способность, умение"
"abject","жалкий, униженный, несчастный"
"able","способный к чему-либо"
"badly","очень сильно"
"baffle","ставить в тупик, расстраивать"
"bag","сумка"
"cherry","вишня"
"chess","шахматы"
"chest","сундук, ящик"
"decisive","решающий или решительный"
"deck","палуба или пол в автобусе"
"declare","объявить, заявить"
"ease","лёгкость"
"east","восток"
"echo","эхо"
"fame","слава"
"familiar","знакомый, известный"
"famine","голод"
"gasp","дышать с трудом/затруднённое дыхание, удушье"
"gates","ворота"
"gather","собирать"
"hardly","едва ли"
"hare","заяц"
"harm","вред, ущерб"
"inch","дюйм или небольшое количество чего угодно"
"incident","случай, происшествие, эпизод"
"incite","подстрекать, побуждать"
"jug","кувшин"
"juice","сок"
"jungle","джунгли"
"kneel","становиться на колени"
"knife","нож"
"knit","вязать"
"lay","класть, положить"
"layer","слой"
"lazy","ленивый"
"manhood","зрелый возраст"
"manifest","очевидный"
"mankind","человечество"
"nervous","нервный"
"nest","гнездо"
"net","сеть"
"official","должностное лицо"
"often","часто"
"oil","масло"
"pasture","пастбище"
"pat","хлопок, шлепок/похлопывать"
"patch","грядка"
"quarry","добыча"
"quarter","четверть"
"queen","королева"
"raise","поднимать"
"rally","объединять, собирать"
"ram","баран"
"scale","уровень, ступень"
"scales","весы"
"scant","скудный"
"tea","чай"
"team","команда, экипаж"
"tear","рвать"
"undertake","предпринимать"
"underwear","нижнее бельё"
"undo","сделать обратно"
"verify","проверять"
"verse","стихи"
"vessel","сосуд"
"wary","осторожный, подозрительный"
"wash","мыть"
"wasp","оса"
"yacht","яхта"
"yard","двор"
"yawn","зевать/зевота"
"zeal","рвение, усердие"
"zealous","рьяный, усердный"
"zoo","зоопарк"
